idReservation,GuestID,adult,children,startDate,endDate,totalPrice
1,1,1,0,2023-02-02,2023-02-04,299.98
2,2,2,1,2023-02-05,2023-02-10,999.95
3,3,2,0,2023-02-22,2023-02-24,349.98
4,4,2,2,2023-03-06,2023-03-07,199.99
5,12,1,1,2023-03-17,2023-03-20,524.97
6,5,3,0,2023-03-18,2023-03-23,924.95
7,6,2,2,2023-03-29,2023-03-31,349.98
8,7,2,0,2023-03-31,2023-04-05,874.95
9,8,1,0,2023-04-09,2023-04-13,799.96
10,9,1,1,2023-04-23,2023-04-24,174.99
11,10,2,4,2023-05-30,2023-06-02,"1,199.97"
12,11,2,0,2023-06-10,2023-06-14,599.96
13,11,1,0,2023-06-10,2023-06-14,599.96
14,5,3,0,2023-06-17,2023-06-18,184.99
15,12,2,0,2023-06-28,2023-07-02,699.96
16,8,3,1,2023-07-13,2023-07-14,184.99
17,9,4,2,2023-07-18,2023-07-21,"1,259.97"
18,2,2,1,2023-07-28,2023-07-29,199.99
19,2,1,0,2023-08-30,2023-09-01,349.98
20,1,2,0,2023-09-16,2023-09-17,149.99
21,4,2,2,2023-09-13,2023-09-15,399.98
22,3,2,2,2023-11-22,2023-11-25,"1,199.97"
23,1,2,0,2023-11-22,2023-11-25,449.97
24,1,2,2,2023-11-22,2023-11-25,599.97
25,10,2,0,2023-12-24,2023-12-28,699.96